proof_A,proof_B,similarity,already_merged_by_heuristic,suggested_canonical
Diagnostic de pollution des sols (Phase 1/2) ou Rapport de mise en sécurité du site (ADEME),Diagnostic de pollution des sols (Étude historique et documentaire / Phase INFOS),0.8791,False,Mesures & Rapports des Émissions Air
Certificat d'urbanisme ou Permis de construire (vérification de la conformité de l'implantation de l'usine vis-à-vis du PLU/Zone industrielle),Certificat d'urbanisme ou Permis de construire validé en conformité avec le zonage du PLU (Plan Local d'Urbanisme),0.8789,False,Certificat d'urbanisme ou Permis de construire validé en conformité avec le zonage...
Dossier d'exploitation de l'équipement comprenant le rapport de requalification périodique (tous les 10 ans) ou d'inspection périodique (tous les 48 mois) du réservoir d'air comprimé.,"Rapport de requalification périodique (tous les 10 ans) ou d'inspection périodique (tous les 4 ans) délivré par un organisme habilité (ex: APAVE, Bureau Veritas) pour les réservoirs d'air comprimé.",0.8769,False,Mesures & Rapports des Émissions Air
Rapport et conclusions motivées du commissaire enquêteur (intégrant l'avis personnel distinct du résumé des observations),Rapport et conclusions motivées du commissaire enquêteur (ou Arrêté préfectoral d'ouverture d'enquête publique mentionnant l'objet et le périmètre),0.8765,False,Mesures & Rapports des Émissions Air
"Fiches de Données de Sécurité (FDS) à jour des fluides de coupe et huiles de laminage (Vérification des rubriques 3, 15 et conformité à l'annexe XVII).",Fiches de Données de Sécurité (FDS) à jour des huiles de coupe et solvants de dégraissage (vérification de la section 3 et 15 sur les restrictions de substances),0.8762,False,Fiches de Données de Sécurité (FDS)
Registre chronologique de suivi des déchets (RSD) à jour intégrant les justificatifs de tri à la source (attestation tri 5/7 flux),Registre chronologique de suivi des déchets (incluant les Bordereaux de Suivi de Déchets - BSD) et attestations de tri 5 flux.,0.8734,False,Bordereaux de Suivi & Registre des Déchets
"Registre chronologique de production, d'expédition et de traitement des déchets (incluant les métaux et huiles de coupe) et attestation annuelle de tri '7 flux'.","Registre de suivi chronologique des déchets (incluant les métaux, huiles de coupe et emballages souillés) à jour",0.8719,False,"Registre de suivi chronologique des déchets (incluant les métaux, huiles de coupe ..."
Évaluation des Risques Sanitaires (ERS) actualisée au sein du dossier d'autorisation ICPE,Évaluation des Risques Sanitaires (ERS) incluse dans le dossier d'autorisation d'exploiter ou diagnostic de pollution des sols (levée de doute).,0.868,False,Dossier de Conformité ICPE / Autorisations
"Fiches de Données de Sécurité (FDS) à jour des fluides de coupe et huiles de laminage (Vérification des rubriques 3, 15 et conformité à l'annexe XVII).","Fiches de Données de Sécurité (FDS) à jour des huiles de coupe et solvants (sections 2, 11 et 15)",0.8676,False,Fiches de Données de Sécurité (FDS)
Accusé de réception de la télédéclaration annuelle GEREP (portail I-REP) et récapitulatif des tonnages de déchets expédiés.,Accusé de réception de la télédéclaration annuelle GEREP (émissions et déchets),0.8664,False,Accusé de réception de la télédéclaration annuelle GEREP (émissions et déchets)
Évaluation des Risques Sanitaires (ERS) actualisée au sein du dossier d'autorisation ICPE,Évaluation des Risques Sanitaires (ERS) incluse dans l'étude d'impact du dossier d'autorisation,0.8654,False,Dossier de Conformité ICPE / Autorisations
"Registre de suivi chronologique des déchets (incluant les métaux, huiles de coupe et emballages souillés) à jour","Registre de suivi des déchets (dangereux et non-dangereux) à jour, incluant les métaux et les huiles d'usinage.",0.8605,False,"Registre de suivi des déchets (dangereux et non-dangereux) à jour, incluant les mé..."
Dossier d'exploitation de la cuve d'air comprimé incluant les rapports de requalification périodique (tous les 10 ans) et d'inspection périodique (tous les 48 mois) réalisés par un organisme habilité.,"Rapport de requalification périodique (tous les 10 ans) ou d'inspection périodique (tous les 4 ans) délivré par un organisme habilité (ex: APAVE, Bureau Veritas) pour les réservoirs d'air comprimé.",0.8597,False,Mesures & Rapports des Émissions Air
Fiches de Données de Sécurité (FDS) à jour (sections 2.1 et 2.2) pour les huiles de coupe et solvants de dégraissage.,"Fiches de Données de Sécurité (FDS) à jour des fluides de coupe et huiles de laminage (Vérification des rubriques 3, 15 et conformité à l'annexe XVII).",0.8564,False,Fiches de Données de Sécurité (FDS)
Registre chronologique de suivi des déchets (incluant les Bordereaux de Suivi de Déchets - BSD) et attestations de tri 5 flux.,Registre chronologique de suivi des déchets (incluant les métaux et les huiles de coupe) et justificatifs de tri '5 flux',0.8556,False,Bordereaux de Suivi & Registre des Déchets
Dossier d'enquête publique ou Arrêté de déclaration d'utilité publique (DUP) en cas d'extension ou de travaux d'infrastructure limitrophes.,Dossier d'enquête publique ou notification d'arrêté de déclaration d'utilité publique (DUP),0.8527,False,Dossier d'enquête publique ou notification d'arrêté de déclaration d'utilité publi...
"Attestation de conformité REACH ou Déclaration du fournisseur de métal certifiant l'absence ou la présence de substances SVHC au-delà de 0,1% (ex: Plomb dans certains alliages)","Déclaration de conformité REACH (SVHC) du fournisseur de matières premières ou Fiche de Données de Sécurité (FDS) à jour mentionnant l'absence ou la présence de substances candidates à plus de 0,1 % p/p.",0.8524,False,Fiches de Données de Sécurité (FDS)
Fiches de Données de Sécurité (FDS) à jour (sections 2.1 et 2.2) pour les huiles de coupe et solvants de dégraissage utilisés.,"Fiches de Données de Sécurité (FDS) à jour des fluides de coupe et huiles de laminage (Vérification des rubriques 3, 15 et conformité à l'annexe XVII).",0.8518,False,Fiches de Données de Sécurité (FDS)
Déclaration annuelle de la TGAP (Taxe Générale sur les Activités Polluantes) ou justificatif de paiement de la TICGN (Taxe intérieure de consommation sur le gaz naturel).,"Déclaration annuelle de la TGAP (Taxe Générale sur les Activités Polluantes) transmise aux services fiscaux/douaniers, cohérente avec les rubriques ICPE du site.",0.8506,False,Dossier de Conformité ICPE / Autorisations
Avis d'imposition de la CFE (Cotisation Foncière des Entreprises) identifiant la Métropole de Lyon comme collectivité bénéficiaire.,Avis d'imposition de la Contribution Foncière des Entreprises (CFE) ou extrait de règlement de voirie de la Métropole de Lyon,0.8505,False,Mesures & Rapports des Émissions Air
